Case No.,NAME OF OWNER,Tenure,R.S.NO.,ORIGINAL PLOT,Area in (Sq.Yds.),Area in (Sq.m),Perimeter (yd),FINAL PLOT,Area in (Sq.Yds.),Area in (Sq.m),Perimeter (yd),Type,Layer,REMARKS
81,Plot 81,DXF,R.S.81,81,4212.95,3522.57,316.48,81,16401.87,13714.05,3775.33,LWPOLYLINE,0,Original plot 81
82,Plot 82,DXF,R.S.82,82,660142.35,551963.10,5413.50,82,574586.90,480427.85,4303.66,LWPOLYLINE,0,Original plot 82
83,Plot 83,DXF,R.S.83,83,5354.90,4477.38,410.91,83,13523.31,11307.21,729.64,LWPOLYLINE,0,Original plot 83
84,Plot 84,DXF,R.S.84,84,2944.02,2461.58,2822.06,84,2600.31,2174.19,1764.33,LWPOLYLINE,0,Original plot 84
85,Plot 85,DXF,R.S.85,85,32296.31,27003.83,2239.87,85,3158.76,2641.13,381.17,LWPOLYLINE,0,Original plot 85
86,Plot 86,DXF,R.S.86,86,1375.40,1150.01,377.16,86,5520.85,4616.14,347.09,LWPOLYLINE,0,Original plot 86
87,Plot 87,DXF,R.S.87,87,1250.01,1045.17,245.72,87,3645.82,3048.37,305.40,LWPOLYLINE,0,Original plot 87
88,Plot 88,DXF,R.S.88,88,5972.24,4993.55,297.20,88,5563.25,4651.59,350.82,LWPOLYLINE,0,Original plot 88
89,Plot 89,DXF,R.S.89,89,1265.44,1058.07,245.40,89,5354.95,4477.42,410.91,LWPOLYLINE,0,Original plot 89
90,Plot 90,DXF,R.S.90,90,1269.31,1061.30,365.33,90,43.40,36.29,445.25,LWPOLYLINE,0,Original plot 90
91,Plot 91,DXF,R.S.91,91,1265.44,1058.06,248.46,91,1265.44,1058.06,248.46,LWPOLYLINE,0,Original plot 91
92,Plot 92,DXF,R.S.92,92,1280.86,1070.96,248.14,92,1221.97,1021.72,366.49,LWPOLYLINE,0,Original plot 92
93,Plot 93,DXF,R.S.93,93,1250.00,1045.16,245.72,93,1970.48,1647.57,390.70,LWPOLYLINE,0,Original plot 93
94,Plot 94,DXF,R.S.94,94,5520.82,4616.11,347.23,94,5410.87,4524.18,413.45,LWPOLYLINE,0,Original plot 94
95,Plot 95,DXF,R.S.95,95,1265.44,1058.06,245.40,95,2366.01,1978.29,2411.09,LWPOLYLINE,0,Original plot 95
96,Plot 96,DXF,R.S.96,96,1296.31,1083.88,317.70,96,5555.58,4645.18,350.56,LWPOLYLINE,0,Original plot 96
97,Plot 97,DXF,R.S.97,97,1250.00,1045.16,245.72,97,12071.89,10093.64,852.93,LWPOLYLINE,0,Original plot 97
98,Plot 98,DXF,R.S.98,98,1840.27,1538.70,386.65,98,5278.68,4413.65,411.10,LWPOLYLINE,0,Original plot 98
99,Plot 99,DXF,R.S.99,99,4212.95,3522.57,316.48,99,3908.17,3267.72,1018.50,LWPOLYLINE,0,Original plot 99
100,Plot 100,DXF,R.S.100,100,1250.00,1045.16,245.72,100,1296.30,1083.87,317.70,LWPOLYLINE,0,Original plot 100
101,Plot 101,DXF,R.S.101,101,1878.88,1570.98,387.42,101,9498.37,7941.84,4390.20,LWPOLYLINE,0,Original plot 101
102,Plot 102,DXF,R.S.102,102,1265.43,1058.06,245.40,102,9457.92,7908.03,866.45,LWPOLYLINE,0,Original plot 102
103,Plot 103,DXF,R.S.103,103,1250.00,1045.16,245.72,103,10441.97,8730.82,3392.25,LWPOLYLINE,0,Original plot 103
